id,title,field_model,field_resource_type,field_display_hints,field_member_of,field_edtf_date_created,field_subject,field_rights,field_description_long,file,field_related_item_boolean,field_related_item_type,field_related_item_title,field_identifier,field_linked_agent
51,Bridge at Weibley's Farm,Image,Still Image,Open Seadragon,2083,10/31/36,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Bridge at Weibley's Farm over Big Buffalo Creek near Saville, Perry County, Pennsylvania.</p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_217.jpg,1,host,MS 80 Nelson F. Davis Collection,3955747,relators:pht:472^|.|^relators:pbl:471
52,Bridge at Saville,Image,Still Image,Open Seadragon,2083,10/31/36,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Bridge at Saville over Big Buffalo Creek, Perry County, Pennsylvania.</p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_218.jpg,1,host,MS 80 Nelson F. Davis Collection,3955748,relators:pht:472^|.|^relators:pbl:471
53,Andy Jacobs Bridge,Image,Still Image,Open Seadragon,2083,10/31/36,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Andy Jacobs Bridge over Big Buffalo Creek near Ickesburg, Perry County, Pennsylvania.</p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_219.jpg,1,host,MS 80 Nelson F. Davis Collection,3955749,relators:pht:472^|.|^relators:pbl:471
54,Bridge over Big Buffalo Creek,Image,Still Image,Open Seadragon,2083,10/31/36,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Bridge over Big Buffalo Creek at Markelsville, Perry County, Pennsylvania.</p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_220.jpg,1,host,MS 80 Nelson F. Davis Collection,3955750,relators:pht:472^|.|^relators:pbl:471
55,Bridge at Milford,Image,Still Image,Open Seadragon,2083,10/31/36,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Bridge at Milford over Big Buffalo Creek near the Wila post office, Perry County, Pennsylvania.</p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_221.jpg,1,host,MS 80 Nelson F. Davis Collection,3955751,relators:pht:472^|.|^relators:pbl:471
56,Bridge at Smith's Farm,Image,Still Image,Open Seadragon,2083,10/31/36,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Bridge at Smith's Farm over Big Buffalo Creek, 2.5 miles west of Newport, Perry County, Pennsylvania.</p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_222.jpg,1,host,MS 80 Nelson F. Davis Collection,3955752,relators:pht:472^|.|^relators:pbl:471
57,Everhart Bridge,Image,Still Image,Open Seadragon,2083,10/31/36,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Everhart Bridge over Little Buffalo Creek at Everhart, Perry County, Pennsylvania.</p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_223.jpg,1,host,MS 80 Nelson F. Davis Collection,3955753,relators:pht:472^|.|^relators:pbl:471
58,Bridge over Little Buffalo Creek,Image,Still Image,Open Seadragon,2083,10/31/36,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Bridge over Little Buffalo Creek west of Newport, Perry County, Pennsylvania.</p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_224.jpg,1,host,MS 80 Nelson F. Davis Collection,3955754,relators:pht:472^|.|^relators:pbl:471
59,Bridge over Little Conewago Creek,Image,Still Image,Open Seadragon,2083,11/14/36,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Bridge over Little Conewago Creek, west of Manchester, York County, Pennsylvania.</p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_225.jpg,1,host,MS 80 Nelson F. Davis Collection,3955755,relators:pht:472^|.|^relators:pbl:471
60,Bridge over Little Conewago Creek,Image,Still Image,Open Seadragon,2083,11/14/36,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Bridge near Fink's Corner over Little Conewago Creek on the Old State Road, York County, Pennsylvania.</p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_226.jpg,1,host,MS 80 Nelson F. Davis Collection,3955756,relators:pht:472^|.|^relators:pbl:471
61,King's Mill Bridge,Image,Still Image,Open Seadragon,2083,11/14/36,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>King's Mill Bridge over Little Conewago Creek, York County, Pennsylvania.</p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_227.jpg,1,host,MS 80 Nelson F. Davis Collection,3955757,relators:pht:472^|.|^relators:pbl:471
62,Bentzel's Mill Bridge,Image,Still Image,Open Seadragon,2083,11/14/36,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Bentzel's Mill Bridge over Little Conewago Creek, York County, Pennsylvania.</p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_228.jpg,1,host,MS 80 Nelson F. Davis Collection,3955758,relators:pht:472^|.|^relators:pbl:471
63,Bridge over Fox Run,Image,Still Image,Open Seadragon,2083,11/14/36,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Bridge over Fox Run on Old Bull Road, York County, Pennsylvania.</p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_229.jpg,1,host,MS 80 Nelson F. Davis Collection,3955759,relators:pht:472^|.|^relators:pbl:471
64,Bridge over Little Conewago Creek,Image,Still Image,Open Seadragon,2083,11/14/36,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Bridge over Little Conewago Creek on the Old Bull Road, York County, Pennsylvania.</p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_230.jpg,1,host,MS 80 Nelson F. Davis Collection,3955760,relators:pht:472^|.|^relators:pbl:471
65,Setter's Mill Bridge,Image,Still Image,Open Seadragon,2083,11/14/36,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Setter's Mill Bridge over Conewago Creek, York County, Pennsylvania.</p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_231.jpg,1,host,MS 80 Nelson F. Davis Collection,3955761,relators:pht:472^|.|^relators:pbl:471
66,Eisenhart's Bridge,Image,Still Image,Open Seadragon,2083,11/14/36,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Eisenhart's Bridge over Bermudian Creek, York County, Pennsylvania.</p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_232.jpg,1,host,MS 80 Nelson F. Davis Collection,3955762,relators:pht:472^|.|^relators:pbl:471
67,Bridge over Conewago Creek,Image,Still Image,Open Seadragon,2083,11/14/36,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Bridge near Eisenhart's Mill over Conewago Creek, York County, Pennsylvania.</p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_233.jpg,1,host,MS 80 Nelson F. Davis Collection,3955763,relators:pht:472^|.|^relators:pbl:471
68,Bridge over Conewago Creek,Image,Still Image,Open Seadragon,2083,11/14/36,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Bridge near Kunkel's Mill over Conewago Creek, York County, Pennsylvania.</p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_234.jpg,1,host,MS 80 Nelson F. Davis Collection,3955764,relators:pht:472^|.|^relators:pbl:471
69,Bridge at East Lemon,Image,Still Image,Open Seadragon,2083,10/24/36,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Interior of bridge at East Lemon over Tunkhannock Creek, Wyoming County, Pennsylvania.</p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_235.jpg,1,host,MS 80 Nelson F. Davis Collection,3955765,relators:pht:472^|.|^relators:pbl:471
70,Bridge at East Lemon,Image,Still Image,Open Seadragon,2083,10/24/36,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Bridge at East Lemon over Tunkhannock Creek, Wyoming County, Pennsylvania.</p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_236.jpg,1,host,MS 80 Nelson F. Davis Collection,3955766,relators:pht:472^|.|^relators:pbl:471
71,Cynthia's Bridge,Image,Still Image,Open Seadragon,2083,10/24/36,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Cynthia's Bridge near Forkston, Wyoming County, Pennsylvania.</p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_237.jpg,1,host,MS 80 Nelson F. Davis Collection,3955767,relators:pht:472^|.|^relators:pbl:471
72,Bridge at Campbellsville,Image,Still Image,Open Seadragon,2083,10/24/36,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Bridge at Campbellsville over the Level Branch of Lick Creek, Sullivan County, Pennsylvania.</p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_238.jpg,1,host,MS 80 Nelson F. Davis Collection,3955768,relators:pht:472^|.|^relators:pbl:471
73,Edelman's Bridge,Image,Still Image,Open Seadragon,2083,9/1/36,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Entrance to Edelman's Bridge over the Hokendaugua Creek, Northampton County, Pennsylvania.</p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_155.jpg,1,host,MS 80 Nelson F. Davis Collection,3955648,relators:pht:472^|.|^relators:pbl:471
74,Bridge at Salts Mills,Image,Still Image,Open Seadragon,2083,9/1/36,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Bridge at Salts Mills over the Hokendaugua Creek, Northampton County, Pennsylvania.</p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_156.jpg,1,host,MS 80 Nelson F. Davis Collection,3955649,relators:pht:472^|.|^relators:pbl:471
75,Kreidersville Bridge,Image,Still Image,Open Seadragon,2083,9/1/36,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Entrance to Kreidersville Bridge over the Hokendaugua Creek, Northampton County, Pennsylvania.</p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_157.jpg,1,host,MS 80 Nelson F. Davis Collection,3955650,relators:pht:472^|.|^relators:pbl:471
76,Red Bridge,Image,Still Image,Open Seadragon,2083,9/1/36,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Entrance to ""Red"" Bridge over Kohler's Creek at Hellertown, Northampton County, Pennsylvania.</p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_158.jpg,1,host,MS 80 Nelson F. Davis Collection,3955651,relators:pht:472^|.|^relators:pbl:471
77,Red Bridge,Image,Still Image,Open Seadragon,2083,9/1/36,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Interior of the Red Bridge over Kohler's Creek at Hellertown, Northampton County, Pennsylvania. This bridge is constructed of hewn timbers fastened together with wooden pegs (tunnels).</p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_159.jpg,1,host,MS 80 Nelson F. Davis Collection,3955652,relators:pht:472^|.|^relators:pbl:471
78,Bridge over Kohler's Creek,Image,Still Image,Open Seadragon,2083,9/1/36,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Bridge over Kohler's Creek at Egypt, Lehigh County, Pennsylvania.</p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_160.jpg,1,host,MS 80 Nelson F. Davis Collection,3955653,relators:pht:472^|.|^relators:pbl:471
79,Interstate Bridge,Image,Still Image,Open Seadragon,2083,9/1/36,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Interior of the Interstate Bridge over the Delaware River between Portland, Northampton County, Pennsylvania and Columbia, Warren County, New Jersey. Photographed at the Pennsylvania-end of the bridge.</p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_161.jpg,1,host,MS 80 Nelson F. Davis Collection,3955654,relators:pht:472^|.|^relators:pbl:471
80,Interstate Bridge,Image,Still Image,Open Seadragon,2083,9/1/36,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Side view of Interstate Bridge between Portland, Northampton County, Pennsylvania and Columbia, Warren County, New Jersey. A four-span bridge and 775 feet long. Construction completed February 1869.</p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_162.jpg,1,host,MS 80 Nelson F. Davis Collection,3955655,relators:pht:472^|.|^relators:pbl:471
81,Gibson's Bridge,Image,Still Image,Open Seadragon,2083,9/7/36,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Entrance to Gibson's Bridge on Route 5 at Harmony Hill over the Brandywine Creek between West Chester and Downingtown, Chester County, Pennsylvania.</p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_163.jpg,1,host,MS 80 Nelson F. Davis Collection,3955656,relators:pht:472^|.|^relators:pbl:471
82,Knox Bridge,Image,Still Image,Open Seadragon,2083,9/5/36,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Entrance to Knox Bridge on Horseshoe Trail over Line Creek separating Chester County and Montgomery County, Pennsylvania. </p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_164.jpg,1,host,MS 80 Nelson F. Davis Collection,3955657,relators:pht:472^|.|^relators:pbl:471
83,Goshen Bridge,Image,Still Image,Open Seadragon,2083,9/7/36,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Entrance to Goshen Bridge over Crum Creek, Delaware County, Pennsylvania.</p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_165.jpg,1,host,MS 80 Nelson F. Davis Collection,3955658,relators:pht:472^|.|^relators:pbl:471
84,Avondale Bridge,Image,Still Image,Open Seadragon,2083,9/7/36,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Entrance to Avondale Bridge near Media, Delaware County, Pennsylvania. This bridge is unique because of its shed-type roof.  The bridge is also known as Leiper's Bridge.</p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_166.jpg,1,host,MS 80 Nelson F. Davis Collection,3955659,relators:pht:472^|.|^relators:pbl:471
85,Bridge Over Nescopeck Creek,Image,Still Image,Open Seadragon,2083,9/2/36,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Entrance to covered bridge at Tank over Nescopeck Creek in Block Creek Township, Luzerne County, Pennsylvania.</p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_167.jpg,1,host,MS 80 Nelson F. Davis Collection,3955660,relators:pht:472^|.|^relators:pbl:471
86,Bridge over Mahanoy Creek,Image,Still Image,Open Seadragon,2083,9/23/36,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Side view of covered bridge at Hunter's Station over the Mahanoy Creek near the Reading Railroad, Northumberland County, Pennsylvania.</p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_168.jpg,1,host,MS 80 Nelson F. Davis Collection,3955661,relators:pht:472^|.|^relators:pbl:471
87,Wilkinson's Bridge,Image,Still Image,Open Seadragon,2083,9/23/36,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Entrance to Wilkinson's Bridge over Mahanoy Creek, Jackson Township, Northumberland County, Pennsylvania.</p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_169.jpg,1,host,MS 80 Nelson F. Davis Collection,3955662,relators:pht:472^|.|^relators:pbl:471
88,Bridge over Mahony Creek,Image,Still Image,Open Seadragon,2083,9/23/36,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Entrance to bridge at Otto over Mahanoy Creek, Northumberland County, Pennsylvania.</p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_170.jpg,1,host,MS 80 Nelson F. Davis Collection,3955663,relators:pht:472^|.|^relators:pbl:471
89,Bridge 69,Image,Still Image,Open Seadragon,2083,9/23/36,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Bridge 69 at the upper end of Herndon, Northumberland County, Pennsylvania., spanning Mahanoy Creek near its junction with the Susquehanna River.</p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_171.jpg,1,host,MS 80 Nelson F. Davis Collection,3955664,relators:pht:472^|.|^relators:pbl:471
90,Bridge over Shamrock Creek,Image,Still Image,Open Seadragon,2083,9/23/36,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Bridge near Shamrock over Shamokin Creek, Northumberland County, Pennsylvania.</p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_172.jpg,1,host,MS 80 Nelson F. Davis Collection,3955665,relators:pht:472^|.|^relators:pbl:471
91,Bridge over Shamrock Creek,Image,Still Image,Open Seadragon,2083,9/23/36,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Bridge without siding  bridge over Shamokin Creek at Shamrock, Northumberland County, Pennsylvania. Far end of roof in a partial state of collapse. Extra shoring is present at the near end of the structure.</p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_173.jpg,1,host,MS 80 Nelson F. Davis Collection,3955666,relators:pht:472^|.|^relators:pbl:471
92,Bridge over Shamrock Creek,Image,Still Image,Open Seadragon,2083,9/23/36,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Side view of bridge over Shamokin Creek near the Odd Fellow's Orphanage, Northumberland County, Pennsylvania.</p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_174.jpg,1,host,MS 80 Nelson F. Davis Collection,3955667,relators:pht:472^|.|^relators:pbl:471
93,County Line Bridge 18,Image,Still Image,Open Seadragon,2083,9/25/36,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>County-line Bridge 18 over Mahantango Creek between Northumberland and Dauphin Counties, Pennsylvania.</p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_175.jpg,1,host,MS 80 Nelson F. Davis Collection,3955668,relators:pht:472^|.|^relators:pbl:471
94,County Line Bridge 18,Image,Still Image,Open Seadragon,2083,9/25/36,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Interior view of county-line Bridge 18 over Mahantango Creek between Northumberland and Dauphin Counties, Pennsylvania, about half-way between Pillow and Malta. Photographed from the Northumberland County end.</p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_176.jpg,1,host,MS 80 Nelson F. Davis Collection,3955669,relators:pht:472^|.|^relators:pbl:471
95,Bridge over Mahantango Creek,Image,Still Image,Open Seadragon,2083,9/25/36,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>County-line bridge at Pillow over the Mahantango Creek between Northumberland and Dauphin counties, Pennsylvania. </p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_177.jpg,1,host,MS 80 Nelson F. Davis Collection,3955670,relators:pht:472^|.|^relators:pbl:471
96,County Bridge 86,Image,Still Image,Open Seadragon,2083,9/25/36,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Side view of County Bridge 86 over Mahantango Creek four miles south of Pillow. A line bridge between Northumberland and Dauphin Counties, Pennsylvania.</p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_178.jpg,1,host,MS 80 Nelson F. Davis Collection,3955671,relators:pht:472^|.|^relators:pbl:471
97,Bridge over Mahantango Creek,Image,Still Image,Open Seadragon,2083,9/20/36,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>A line bridge over the Mahantango Creek, spanning Northumberland and Schuylkill counties. The bridge is located 2 or 3 miles beyond Klingerstown, Schuylkill County, Pennsylvania.</p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_179.jpg,1,host,MS 80 Nelson F. Davis Collection,3955672,relators:pht:472^|.|^relators:pbl:471
98,Erdman's Bridge,Image,Still Image,Open Seadragon,2083,9/25/36,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Erdman's Bridge over Pine Creek, Dauphin County, Pennsylvania.</p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_180.jpg,1,host,MS 80 Nelson F. Davis Collection,3955673,relators:pht:472^|.|^relators:pbl:471
99,Bridge over Big Swatara Creek ,Image,Still Image,Open Seadragon,2083,9/18/36,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Bridge over Big Swatara Creek near Jonestown, Lebanon County, Pennsylvania. At the time of the 1936 photograph, the bridge was being demolished and replaced by a steel structure.</p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_181.jpg,1,host,MS 80 Nelson F. Davis Collection,3955674,relators:pht:472^|.|^relators:pbl:471
100,Bridge over Big Swatara Creek ,Image,Still Image,Open Seadragon,2083,9/28/36,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Partially demolished bridge over Big Swatara Creek near Jonestown, Lebanon County, Pennsylvania. The pier of the wooden structure is in contrast with the new pier for the steel bridge under construction.</p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_182.jpg,1,host,MS 80 Nelson F. Davis Collection,3955675,relators:pht:472^|.|^relators:pbl:471
101,Bridge over Little Swatara Creek ,Image,Still Image,Open Seadragon,2083,9/28/36,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Bridge over Little Swatara Creek near Jonestown, Lebanon County, Pennsylvania.</p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_183.jpg,1,host,MS 80 Nelson F. Davis Collection,3955676,relators:pht:472^|.|^relators:pbl:471
